cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pweight,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
ES,ESS1-5e011,1.1,01.02.2013,80779,ESS5e03_0,5,3.0,742,0.8595510291857,2.07516111405836,4,,,77,77,77,77,77,77,77,1,2,2,2,2,2,2,2,1,4,2,5,7,4,77,77,3,8,2,4,1,8,,3,3,3,77,77,77,4,5,1,5,3,5,3,2,1,5,5,2,6,8,6,2,4,1,4,1,6,
ES,ESS1-5e011,1.1,01.02.2013,80780,ESS5e03_0,5,3.0,744,1.06978913841021,2.07516111405836,2,,,5,4,7,5,4,7,6,1,2,2,2,2,2,1,2,2,6,2,7,7,2,1,5,4,7,4,3,2,2,,3,4,4,3,5,3,3,5,2,4,1,4,1,2,2,3,2,1,4,1,5,2,2,1,1,1,5,
ES,ESS1-5e011,1.1,01.02.2013,80781,ESS5e03_0,5,3.0,745,0.882656808853019,2.07516111405836,3,,,4,2,7,4,5,77,6,1,2,2,2,1,1,2,1,1,2,2,9,4,3,0,7,6,6,3,2,5,2,,2,4,3,5,7,5,3,5,3,4,2,3,4,3,2,4,4,2,3,2,5,2,3,2,1,2,3,
ES,ESS1-5e011,1.1,01.02.2013,80782,ESS5e03_0,5,3.0,747,0.723098248394618,2.07516111405836,3,,,4,7,8,4,4,88,5,1,1,2,2,2,2,2,2,1,3,2,4,7,3,5,8,5,8,2,2,3,4,,7,7,7,8,8,7,1,3,2,4,4,3,3,2,2,2,4,2,3,3,3,2,4,2,3,5,2,
ES,ESS1-5e011,1.1,01.02.2013,80783,ESS5e03_0,5,3.0,748,0.919489291393641,2.07516111405836,3,,,5,5,5,5,5,5,5,3,2,2,2,2,2,2,2,2,6,2,7,10,4,4,4,5,7,1,4,4,3,,2,2,2,10,10,10,1,1,1,1,1,1,3,2,3,1,1,1,1,1,5,1,1,1,1,1,1,
ES,ESS1-5e011,1.1,01.02.2013,80784,ESS5e03_0,5,3.0,750,1.00357175358324,2.07516111405836,3,,,2,7,7,1,2,7,8,1,2,2,1,2,2,2,2,2,6,2,5,6,2,2,6,5,5,1,2,1,2,,2,2,2,3,6,2,1,2,1,1,1,1,5,1,1,2,1,1,2,1,1,1,2,1,5,6,2,
ES,ESS1-5e011,1.1,01.02.2013,80785,ESS5e03_0,5,3.0,751,0.990980690679859,2.07516111405836,3,,,2,0,4,5,5,5,6,1,2,2,2,2,2,2,2,1,3,2,2,7,2,2,5,5,4,2,2,4,2,,2,2,2,3,2,2,5,5,2,2,2,2,2,2,2,3,3,2,4,2,3,2,3,2,1,2,1,
ES,ESS1-5e011,1.1,01.02.2013,80786,ESS5e03_0,5,3.0,752,1.01921680424907,2.07516111405836,3,,,5,6,7,5,5,6,6,3,2,2,2,2,2,2,2,1,3,2,4,10,3,4,5,7,8,2,2,2,2,,2,2,2,7,6,4,2,4,2,2,2,2,3,2,5,3,2,2,3,2,2,2,3,2,2,3,2,
ES,ESS1-5e011,1.1,01.02.2013,80787,ESS5e03_0,5,3.0,754,0.961765019768471,2.07516111405836,3,,,4,3,6,2,3,3,3,1,2,2,2,2,2,2,2,2,6,2,77,9,3,4,4,6,6,2,2,2,3,,3,3,3,6,5,6,3,5,2,3,2,3,2,2,2,1,1,1,3,2,3,2,3,3,2,3,2,
ES,ESS1-5e011,1.1,01.02.2013,80788,ESS5e03_0,5,3.0,755,1.09067645900913,2.07516111405836,3,,,4,4,10,5,4,6,7,1,1,2,2,2,2,2,2,2,6,2,5,8,3,5,8,4,6,3,1,1,3,,3,3,3,2,7,5,2,1,3,1,1,3,4,2,3,2,1,2,1,1,3,4,1,2,1,1,2,
ES,ESS1-5e011,1.1,01.02.2013,80789,ESS5e03_0,5,3.0,756,0.857518684099734,2.07516111405836,4,,,4,4,1,1,1,88,6,3,2,2,2,2,2,2,2,2,6,2,5,7,3,2,3,8,9,1,1,1,2,,8,8,8,1,5,3,1,3,2,4,2,4,5,4,2,2,1,2,5,2,4,2,5,2,2,4,4,
ES,ESS1-5e011,1.1,01.02.2013,80790,ESS5e03_0,5,3.0,757,1.01561852037492,2.07516111405836,3,,,4,4,8,7,7,7,7,1,2,2,2,2,2,2,2,1,3,2,4,6,6,4,5,4,5,2,1,2,2,,3,3,3,4,4,4,5,4,3,5,2,5,3,3,3,4,5,3,4,1,5,2,3,4,2,2,2,
ES,ESS1-5e011,1.1,01.02.2013,80791,ESS5e03_0,5,3.0,758,0.899425011320446,2.07516111405836,3,,,3,6,6,6,4,3,3,1,2,2,2,2,2,2,2,2,6,2,5,6,1,1,3,7,6,2,2,2,3,,2,2,2,5,6,2,4,5,2,3,2,4,4,4,2,3,4,2,4,1,5,4,5,2,4,3,4,
ES,ESS1-5e011,1.1,01.02.2013,80792,ESS5e03_0,5,3.0,760,1.01299941880186,2.07516111405836,1,,,1,1,4,3,1,1,1,1,1,2,2,2,2,2,1,1,1,2,88,10,2,1,1,1,4,2,3,2,3,,2,4,4,2,7,3,2,5,2,5,2,2,5,2,2,3,1,2,5,2,5,2,5,1,2,2,3,
ES,ESS1-5e011,1.1,01.02.2013,80793,ESS5e03_0,5,3.0,761,0.919362152402406,2.07516111405836,2,,,7,7,7,6,5,5,6,1,2,2,2,2,2,2,2,1,3,2,5,8,5,0,6,6,8,3,3,2,2,,2,3,3,6,6,5,3,3,3,3,3,2,3,3,3,2,3,2,3,2,2,3,3,2,3,4,2,
