cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
ES,ESS1-6e01,1.0,26.11.2014,94263,ESS4e04_3,4,4.3,1268,1.5171,1.62132977662168,1.50092092391304,4,1,4,0,0,2,0,0,4,88,2,2,2,2,2,1,2,2,2,6,2,0,8,0,3,3,8,8,2,1,4,2,4,1,1,1,8,10,10,3,5,1,6,5,2,4,2,2,2,2,2,5,2,2,2,4,2,2,6,1,
ES,ESS1-6e01,1.0,26.11.2014,94264,ESS4e04_3,4,4.3,1269,1.0107,0.814102269609823,1.50092092391304,2,2,3,88,5,4,4,7,88,3,1,2,1,1,1,1,1,1,1,2,2,0,8,88,88,2,5,6,2,2,4,4,5,3,3,3,88,8,6,2,3,2,2,4,1,4,2,2,3,3,4,2,4,2,4,2,2,2,4,2,
ES,ESS1-6e01,1.0,26.11.2014,94265,ESS4e04_3,4,4.3,1270,1.32,1.52747787324536,1.50092092391304,4,2,4,6,6,8,4,4,5,8,1,2,2,2,2,2,2,2,2,6,2,88,7,2,3,6,3,5,1,2,2,8,2,3,3,3,5,3,4,5,5,3,5,3,5,4,3,2,5,4,3,5,3,6,3,6,4,1,4,5,
ES,ESS1-6e01,1.0,26.11.2014,94266,ESS4e04_3,4,4.3,1271,0.73,0.577637061285042,1.50092092391304,3,5,2,3,4,5,2,2,2,2,1,2,2,2,2,2,2,2,1,3,2,5,5,2,2,2,4,2,5,2,1,4,1,4,4,4,2,4,4,5,5,3,6,5,2,2,2,1,2,1,1,5,2,3,2,6,1,4,4,2,
ES,ESS1-6e01,1.0,26.11.2014,94267,ESS4e04_3,4,4.3,1272,0.7445,0.76227438629459,1.50092092391304,4,5,4,4,2,4,2,2,3,1,2,2,2,2,2,1,1,2,2,6,2,5,8,2,2,6,8,5,3,1,2,4,2,3,3,3,5,6,4,1,5,2,3,2,2,3,3,2,3,1,2,4,2,4,3,5,2,2,5,4,
ES,ESS1-6e01,1.0,26.11.2014,94268,ESS4e04_3,4,4.3,1274,1.288,1.36049152812587,1.50092092391304,4,5,3,4,6,4,3,3,4,5,1,2,2,2,2,2,2,2,7,6,2,77,7,4,3,9,5,6,2,1,1,4,5,3,3,3,5,6,4,2,5,1,3,1,3,3,1,3,2,1,1,3,1,5,2,1,1,1,3,2,
ES,ESS1-6e01,1.0,26.11.2014,94269,ESS4e04_3,4,4.3,1275,1.5467,1.21904311514318,1.50092092391304,3,3,3,4,1,8,2,2,5,5,1,2,2,2,2,2,2,2,1,3,2,3,8,2,4,5,3,5,1,2,1,2,4,4,4,4,2,4,4,1,3,2,4,2,2,2,2,2,3,2,1,4,3,3,2,3,1,2,4,3,
ES,ESS1-6e01,1.0,26.11.2014,94270,ESS4e04_3,4,4.3,1276,1.2198,2.07545861245435,1.50092092391304,3,3,3,8,6,7,6,6,4,4,1,2,2,2,2,2,2,2,2,6,2,5,9,8,8,8,7,8,4,1,4,4,3,3,3,3,8,8,5,2,5,2,3,1,2,2,1,2,2,2,1,4,2,5,1,2,1,2,3,2,
ES,ESS1-6e01,1.0,26.11.2014,94271,ESS4e04_3,4,4.3,1278,1.5467,0.956443585037965,1.50092092391304,4,4,1,4,6,7,3,1,6,4,2,2,2,2,2,2,2,2,2,6,2,5,9,3,4,6,8,7,1,1,1,1,3,4,2,2,3,5,1,3,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,
ES,ESS1-6e01,1.0,26.11.2014,94272,ESS4e04_3,4,4.3,1279,0.298,0.233040410169851,1.50092092391304,3,5,2,5,2,5,2,2,3,3,1,2,2,2,2,2,2,2,2,6,2,5,6,6,7,7,6,6,2,1,1,3,8,1,1,1,8,8,8,2,6,1,5,2,2,5,2,2,3,2,2,4,3,4,3,4,1,2,4,2,
